property_master_id,derived_age_years,derived_area_per_bhk,derived_bathrooms_per_bhk,derived_carpet_efficiency,derived_floor_ratio,derived_locality_price_premium,derived_accessibility_score,derived_amenity_score,derived_hpi_growth,derived_local_price_growth,derived_rent_per_sqft,derived_rental_yield,derived_school_access,derived_hospital_access,derived_metro_access,derived_transit_density,derived_age_years_log1p,derived_area_per_bhk_log1p,derived_locality_price_premium_log1p,derived_amenity_score_log1p,derived_rent_per_sqft_log1p,derived_rental_yield_log1p,derived_school_access_log1p,derived_hospital_access_log1p,derived_metro_access_log1p,derived_city_locality,derived_market_regime
PROP-974325224E0B,9.5,1800.0,3.0,0.833,0.5,1.275,43.1,6.0,8.37,1.24,38.24,4.0,0.503,0.481,0.401,2.0,2.3514,7.4961,0.822,1.9459,3.6697,1.6094,0.4075,0.3927,0.3372,Bengaluru_Hsr Layout,Growth
PROP-74731FF22A2E,9.5,667.5,1.5,0.833,0.5,0.708,29.4,0.0,10.18,2.02,21.25,3.5652,0.531,0.234,0.146,0.0,2.3514,6.505,0.5353,0.0,3.1023,1.5185,0.4259,0.2103,0.1363,Bengaluru_Chandapura,Growth
PROP-C4D0D206A303,9.5,616.67,1.0,0.833,0.5,0.359,30.5,2.0,2.39,-0.75,10.77,0.72,0.311,0.441,0.213,1.0,2.3514,6.426,0.3067,1.0986,2.4656,0.5423,0.2708,0.3653,0.1931,Bengaluru_Nelamangala,Stable
PROP-96577465F0DC,9.5,612.5,1.5,0.833,0.75,1.0,13.8,0.0,8.44,3.26,30.0,6.0,0.394,0.075,0.08,0.0,2.3514,6.4192,0.6931,0.0,3.434,1.9459,0.3322,0.0723,0.077,Bengaluru_Nagarathpet,Growth
PROP-28ED7BF56A39,9.5,896.67,1.33,0.833,0.5,0.62,35.1,0.0,0.0,1.83,18.61,3.3333,0.651,0.259,0.237,0.0,2.3514,6.7998,0.4824,0.0,2.976,1.4663,0.5014,0.2303,0.2127,Bengaluru_Bommasandra,Declining
PROP-97FF862E203A,9.5,210.0,0.4,0.833,0.5,1.0,41.0,5.0,10.48,3.08,30.0,2.3333,0.506,0.712,0.316,1.0,2.3514,5.3519,0.6931,1.7918,3.434,1.204,0.4095,0.5377,0.2746,Bengaluru_Gb Palya,Growth
PROP-8BA09DE89F0C,9.5,500.0,1.5,0.8,0.5,1.0,20.1,2.0,4.24,1.83,30.0,26.4151,0.261,0.166,0.383,1.0,2.3514,6.2166,0.6931,1.0986,3.434,3.3111,0.2319,0.1536,0.3243,Bengaluru_Bannerughatta,Stable
PROP-C280EFC6A29A,9.5,375.0,1.0,0.833,0.5,1.0,28.0,0.0,8.78,1.94,30.0,15.0,0.328,0.256,0.297,0.0,2.3514,5.9296,0.6931,0.0,3.434,2.7726,0.2837,0.2279,0.2601,Bengaluru_Karpur,Growth
PROP-CAF7694EC367,9.5,300.0,1.0,0.917,0.5,0.517,32.2,0.0,4.44,-0.38,15.5,67.5,0.614,0.322,0.26,0.0,2.3514,5.7071,0.4167,0.0,2.8034,4.2268,0.4787,0.2791,0.2311,Bengaluru_Jigani,Stable
PROP-C400BCD7680E,9.5,500.0,1.5,1.0,0.5,1.0,27.4,2.0,8.37,1.24,30.0,21.0,0.288,0.227,0.349,1.0,2.3514,6.2166,0.6931,1.0986,3.434,3.091,0.2531,0.2046,0.2994,Bengaluru_Anekal,Growth
